dreg	ab	as	riskav	horizon	age	age2	nwhite	female	college	married	children	empl	selfempl	retired	advisor	wkfinance	health_exc	nfininst	future_bett	w95	w98	w01	w04	w07	w10	w13	w16	effcohort	spret	vix	inco	inco2	wthfin	wthfin2	wthreal	wthreal2	debt	debt2	home	peso
1	0	.9922959	1	4	.57	.3249	0	0	0	1	0	0	1	0	0	1	1	3	1	1	0	0	0	0	0	0	0	.1298411	.1011292	13.70222	.1655144	.027395	.2307942	.053266	1.362565	1.856583	.6250824	.3907281	1	5492.248
1	0	.996596	2	3	.58	.3364	0	0	1	1	0	1	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	.1297365	.1011292	13.70222	.0582689	.0033953	.4244831	.1801859	.4566648	.2085427	.0582689	.0033953	1	27645.22
1	0	.3185335	2	4	.41	.1681	0	0	1	1	1	1	0	0	0	1	1	4	0	1	0	0	0	0	0	0	0	.1321079	.1011292	13.70222	.1823216	.0332412	.4795331	.229952	.7609551	.5790527	.2029408	.041185	1	8945.301
1	.8928571	.0396825	3	2	.58	.3364	0	0	0	1	0	1	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	.1297365	.1011292	13.70222	.0200967	.0004039	.2247423	.0505091	.5607579	.3144494	0	0	1	11592.88
1	.1917721	.3876197	2	3	.54	.2916	0	0	1	1	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	.1299602	.1011292	13.70222	.0612832	.0037556	.0846481	.0071653	.183599	.0337086	.0180364	.0003253	1	25737.65
1	.1345074	.5729039	2	3	.67	.4489	0	0	1	1	0	0	1	0	1	0	0	9	0	1	0	0	0	0	0	0	0	.1288502	.1011292	13.70222	.2396466	.0574305	2.199156	4.836287	2.729329	7.449235	0	0	1	127.6351
1	.2953558	.5688542	1	3	.52	.2704	0	0	1	1	0	0	1	0	0	0	0	8	0	1	0	0	0	0	0	0	0	.1299376	.1011292	13.70222	.8762184	.7677587	4.261052	18.15656	5.510801	30.36893	2.790551	7.787177	1	21.1126
1	0	.3971023	3	1	.73	.5329	0	0	0	1	0	0	1	0	0	1	0	10	0	1	0	0	0	0	0	0	0	.1280938	.1011292	13.70222	.1405269	.0197478	1.016234	1.032731	5.537332	30.66205	.4939643	.2440007	1	14.02767
1	0	.6285715	3	3	.32	.1024	0	0	0	1	1	1	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	.1400769	.1011292	13.70222	.0404699	.0016378	.0676586	.0045777	.0934903	.0087404	.1186715	.0140829	1	34909.96
1	.0091988	.7474014	1	3	.55	.3025	0	0	1	1	0	0	1	0	0	0	0	17	0	1	0	0	0	0	0	0	0	.129941	.1011292	13.70222	.4244831	.1801859	1.155056	1.334154	1.66729	2.779856	.0457379	.002092	1	75.44894
1	0	.6645149	2	3	.51	.2601	0	0	1	1	1	1	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	.1299589	.1011292	13.70222	.1310283	.0171684	.274612	.0754118	.425934	.1814198	.0861777	.0074266	1	18990.07
1	0	.5640794	1	3	.52	.2704	0	0	0	1	1	0	1	0	0	0	1	8	0	1	0	0	0	0	0	0	0	.1299376	.1011292	13.70222	.3001046	.0900628	.7457396	.5561276	2.455992	6.031899	.5709795	.3260176	1	113.4696
1	.2067097	.7274478	2	3	.52	.2704	0	0	0	1	0	1	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	.1299376	.1011292	13.70222	.0633503	.0040133	.3691607	.1362796	.436007	.1901021	.0148886	.0002217	1	18082.96
1	.1608149	.5422788	2	4	.48	.2304	0	0	1	1	0	0	1	0	0	0	1	7	1	1	0	0	0	0	0	0	0	.1302393	.1011292	13.70222	.9210793	.8483871	1.479949	2.190248	3.355522	11.25953	0	0	1	108.6406
1	0	.6163033	1	4	.55	.3025	0	0	0	1	0	0	1	0	1	0	1	7	1	1	0	0	0	0	0	0	0	.129941	.1011292	13.70222	0	0	.2562409	.0656594	.4929042	.2429546	.0295588	.0008737	1	1797.99
1	0	.4021194	1	1	.59	.3481	0	0	0	1	0	0	1	0	0	0	0	6	0	1	0	0	0	0	0	0	0	.1296172	.1011292	13.70222	.762035	.5806973	.1917602	.036772	1.218828	1.485541	.1222176	.0149371	1	1656.438
1	.1319222	.6254005	1	2	.7	.49	0	1	0	0	1	0	0	1	1	0	0	3	0	1	0	0	0	0	0	0	0	.128407	.1011292	13.70222	.0848925	.0072067	.676784	.4580366	1.216537	1.479963	.1314668	.0172835	1	3935.152
1	0	.5271417	3	2	.45	.2025	0	1	1	0	1	0	1	0	0	1	1	8	0	1	0	0	0	0	0	0	0	.1306428	.1011292	13.70222	.2429462	.0590228	.0784155	.006149	.9403087	.8841805	1.221125	1.491146	0	1496.522
1	0	.0914435	1	4	.32	.1024	0	0	0	1	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	.1400769	.1011292	13.70222	.079735	.0063577	.0737615	.0054408	.0783951	.0061458	.0440169	.0019375	1	32315.9
1	.1053339	.1669655	1	1	.39	.1521	0	0	1	1	0	1	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	.1333601	.1011292	13.70222	.0573251	.0032862	.0521597	.0027206	.0521597	.0027206	0	0	0	14719.36
1	.1364489	.7106714	1	4	.68	.4624	0	0	1	0	0	0	0	1	0	0	0	9	0	1	0	0	0	0	0	0	0	.1286907	.1011292	13.70222	.0173486	.000301	.3014222	.0908554	.4490224	.2016211	0	0	1	1138.882
1	.0969331	.4653899	1	3	.64	.4096	0	0	1	1	0	1	0	0	0	0	1	6	1	1	0	0	0	0	0	0	0	.1293246	.1011292	13.70222	.7514161	.5646262	2.94726	8.686342	3.191639	10.18656	0	0	1	1859.145
1	.3749543	.4515654	2	2	.75	.5625	0	1	1	0	0	0	0	1	0	0	0	3	1	1	0	0	0	0	0	0	0	.1279271	.1011292	13.70222	.0099503	.000099	.3815863	.1456081	.9418047	.8869961	0	0	1	10673.17
1	.002445	.0212427	1	1	.59	.3481	0	0	1	1	0	0	1	0	0	1	1	17	0	1	0	0	0	0	0	0	0	.1296172	.1011292	13.70222	.2159175	.0466204	1.668209	2.78292	4.145797	17.18763	.0008017	6.43e-07	0	79.91975
2	0	0	1	3	.53	.2809	0	0	1	1	1	0	1	0	1	0	0	3	1	1	0	0	0	0	0	0	0	.129951	.1011292	13.70222	0	0	.0993927	.0098789	1.987038	3.948322	.5103055	.2604117	1	55.37411
2	0	0	1	3	.56	.3136	0	0	1	1	0	1	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	.1298961	.1011292	13.70222	.1441003	.0207649	.515216	.2654475	.6901424	.4762965	.1655144	.027395	1	4723.522
1	.0413269	.8704726	1	3	.67	.4489	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	.1288502	.1011292	13.70222	.01181	.0001395	.1359879	.0184927	.3112042	.096848	0	0	1	2376.9
2	0	0	3	3	.61	.3721	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	.1294611	.1011292	13.70222	.0129162	.0001668	.0965639	.0093246	.1482303	.0219722	0	0	1	37974.68
1	.4838319	.4418998	1	3	.5	.25	0	0	1	1	1	0	1	0	0	0	1	13	0	1	0	0	0	0	0	0	0	.1300181	.1011292	13.70222	.1823216	.0332412	.482457	.2327648	.9631932	.9277412	0	0	1	1278.024
1	0	.9504195	1	1	.62	.3844	0	0	1	0	1	0	1	0	1	1	1	3	0	1	0	0	0	0	0	0	0	.1294229	.1011292	13.70222	.7030975	.4943461	.5803144	.3367648	3.119515	9.731374	.2122039	.0450305	1	132.1612
1	0	.9928386	2	3	.62	.3844	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	.1294229	.1011292	13.70222	.4387709	.1925199	.2678874	.0717637	1.020723	1.041875	0	0	1	300.5475
